gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,avg_charge_per_tenure,has_fiber,is_month_to_month,has_online_security,has_tech_support
Male,1,No,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,166.33474592003785,831.6737296001893,0,33.26694918400757,1,1,0,0
Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,179.30815171847405,537.9244551554222,1,59.76938390615802,1,1,0,0
Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,166.41207919051337,1830.5328710956471,0,15.128370835501215,1,1,1,1
Female,0,No,Yes,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,168.8439140968504,1857.2830550653543,0,15.34944673607731,1,1,1,1
Female,1,Yes,No,3,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,33.4908703407508,100.47261102225238,0,11.163623446916935,1,1,0,0
Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,152.1037204905262,304.2074409810524,0,76.0518602452631,1,1,1,0
Female,1,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,95.55409627759622,573.3245776655773,1,15.925682712932703,1,1,0,1
Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,148.82255165637676,595.290206625507,0,37.20563791409419,1,1,0,0
Male,0,Yes,No,11,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.53327155775403,742.8659871352944,1,6.139388323432185,1,1,0,0
Male,1,No,No,5,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.52784566758856,152.6392283379428,0,6.1055691335177125,1,1,0,0
Male,1,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.03382607662292,0.0,1,36.03382607662292,0,1,0,0
Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,105.25918206687986,105.25918206687986,0,105.25918206687986,1,1,0,1
Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,101.9966625702385,0.0,0,101.9966625702385,1,1,1,1
Female,0,No,No,4,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.72540821768551,326.90163287074205,0,20.431352054421378,1,1,1,0
Male,0,No,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,157.63749268811233,472.912478064337,1,52.545830896037444,1,1,0,0
Male,1,No,Yes,10,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,42.80914949070972,428.0914949070972,1,4.280914949070972,1,1,0,0
Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,131.91985066363847,1319.1985066363848,0,13.191985066363847,1,1,1,1
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,108.25730690991472,108.25730690991472,1,108.25730690991472,1,1,0,0
Female,1,No,No,11,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,163.59313348868727,1799.52446837556,0,14.872103044426115,1,1,1,1
Male,1,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,170.65887177898682,1194.6121024529075,0,24.379838825569546,1,1,0,0
Female,1,No,Yes,3,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,101.23133897633552,303.6940169290065,0,33.74377965877851,1,1,1,1
Male,0,No,No,4,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.27331442476174,125.09325769904696,0,7.818328606190435,1,1,0,0
Male,1,Yes,No,5,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.84896018409212,359.2448009204606,0,14.369792036818424,0,1,0,0
Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,147.43127550900806,294.8625510180161,0,73.71563775450403,1,1,1,1
Male,1,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,101.20221156875296,1012.0221156875295,1,10.120221156875296,1,1,0,0
Female,1,No,No,0,Yes,No,No,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,118.95309139267992,0.0,0,118.95309139267992,0,1,0,0
Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,158.5427237086246,0.0,1,158.5427237086246,1,1,0,0
Female,1,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,163.20651975187343,489.6195592556203,1,54.40217325062448,1,1,0,0
Male,1,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,78.0343510320496,78.0343510320496,0,78.0343510320496,1,1,0,0
Female,0,No,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,119.92853246688097,0.0,0,119.92853246688097,1,1,1,0
Female,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.86220034661867,139.44880138647468,0,8.715550086654668,0,1,0,0
Female,0,No,No,4,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,121.7669905257424,487.0679621029696,0,30.4417476314356,0,1,1,1
Female,1,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,132.04727874652573,132.04727874652573,0,132.04727874652573,1,1,1,1
Female,1,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,145.5010352833919,1309.5093175505272,0,16.166781698154654,1,1,0,0
Male,1,No,No,10,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,76.58332406689443,765.8332406689443,0,7.658332406689444,1,1,0,0
Female,1,Yes,No,8,Yes,No,No,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,122.21146463278968,977.6917170623176,1,15.27643307909871,0,1,0,0
Male,1,No,No,6,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,133.42160657680174,800.5296394608104,0,22.236934429466956,1,1,1,1
Female,1,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,93.3960487294149,1027.356536023564,0,8.490549884492264,1,1,1,1
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,133.56668610935142,534.2667444374057,0,33.391671527337856,1,1,0,0
Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,139.03184037292985,695.1592018646493,1,27.80636807458597,1,1,1,0
Female,1,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,119.17649769455944,0.0,0,119.17649769455944,1,1,1,1
Female,0,No,No,8,Yes,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,134.35808863365898,1074.8647090692718,1,16.794761079207372,0,1,0,0
Female,1,Yes,Yes,1,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,125.90265143607247,125.90265143607247,0,125.90265143607247,1,1,1,1
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,163.43823440441875,1144.0676408309312,1,23.34831920063125,1,1,0,0
Female,1,No,Yes,9,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,157.80238281295823,1420.221445316624,0,17.53359809032869,1,1,1,0
Male,1,No,Yes,2,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,176.5019930804365,353.00398616087307,0,88.25099654021825,0,1,0,1
Female,0,No,Yes,7,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.32517404131402,254.2762182891981,0,5.189310577330574,1,1,0,0
Female,0,No,No,3,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,155.42479316204685,466.27437948614056,0,51.80826438734895,1,1,0,1
Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,167.56979906397697,670.2791962559079,0,41.89244976599424,1,1,0,0
Male,0,No,No,6,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,142.80061957290707,856.8037174374424,0,23.80010326215118,1,1,0,0
Male,1,No,No,2,No,No phone service,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,68.45857603314322,136.91715206628643,0,34.22928801657161,1,1,1,0
Female,0,No,Yes,9,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,92.80637513737273,835.2573762363545,0,10.311819459708081,0,1,0,1
Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,156.12696376322234,624.5078550528893,1,39.031740940805584,1,1,0,0
Female,1,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,122.09381154781882,610.4690577390941,0,24.418762309563764,1,1,0,1
Male,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,128.10857799312527,1152.977201938127,0,14.234286443680585,1,1,0,0
Female,0,No,No,2,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,120.50913910662356,241.01827821324716,0,60.25456955331178,0,1,0,1
Female,1,No,Yes,5,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.458391746617583,142.29195873308794,0,5.691678349323516,1,1,0,0
Male,0,No,No,11,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,125.73875341208164,1383.1262875328982,0,11.430795764734695,1,1,1,0
Male,1,No,No,4,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,72.88015128071916,291.52060512287665,0,18.22003782017979,1,1,0,1
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.893593732793025,31.893593732793025,0,31.893593732793025,0,1,0,0
Male,1,Yes,Yes,3,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,194.3359131906909,583.0077395720728,0,64.7786377302303,0,1,1,1
Male,1,No,Yes,11,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.2192130128938,398.4113431418318,0,3.2926557284448914,1,1,0,0
Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.8042107355779,826.2378966202011,0,10.200467859508656,1,1,1,1
Female,1,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,167.13716802737224,1504.2345122463505,0,18.570796447485804,1,1,1,0
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,84.44539704788637,253.3361911436591,0,28.148465682628792,1,1,0,0
Female,0,No,Yes,10,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,90.97949501192991,909.7949501192992,0,9.097949501192991,1,1,1,0
Male,1,No,No,4,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,121.30526135500422,485.2210454200169,0,30.326315338751055,0,1,1,0
Female,1,No,Yes,9,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,44.38118544634244,399.430669017082,0,4.931242827371382,1,1,0,0
Female,0,Yes,Yes,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,132.17531176999128,1321.7531176999128,1,13.217531176999127,1,1,0,0
Female,0,No,Yes,2,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,78.98714233831822,157.97428467663644,0,39.49357116915911,1,1,1,0
Female,0,No,No,11,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,129.67945276306102,1426.4739803936714,1,11.789041160278275,1,1,0,0
Female,1,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,152.25271563456786,1065.769009441975,0,21.75038794779541,1,1,0,1
Female,1,Yes,No,8,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.39305930945891,227.14447447567127,0,3.5491324136823637,1,1,0,0
Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,142.59670103000846,1283.3703092700762,0,15.844077892223162,1,1,0,0
Female,0,No,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,104.96785345582776,209.9357069116555,0,52.48392672791388,1,1,1,0
Female,1,No,Yes,8,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.725105921876455,261.80084737501164,0,4.090638240234557,1,1,0,0
Female,1,No,Yes,2,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.216948796688136,58.43389759337627,0,14.608474398344068,1,1,0,0
Male,1,No,No,3,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,54.01410446389541,162.0423133916862,0,18.004701487965136,1,1,0,0
Male,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,119.86888321104618,119.86888321104618,0,119.86888321104618,1,1,0,0
Male,0,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,125.38605280732276,250.7721056146455,0,62.69302640366138,1,1,0,1
Male,1,No,Yes,11,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,132.59085085928743,1458.4993594521618,0,12.053713714480676,1,1,1,1
Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,172.39496286320573,517.1848885896172,0,57.46498762106858,1,1,1,0
Male,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,153.4290279180083,613.7161116720332,0,38.357256979502075,1,1,0,0
Female,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,130.43432429069452,652.1716214534727,1,26.086864858138902,1,1,1,0
Male,1,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,103.26486920619764,826.1189536495812,0,12.908108650774706,1,1,1,1
Male,1,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.20801232064157,181.24807392384943,1,5.034668720106928,0,1,0,0
Male,1,No,No,6,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,30.391249577812328,182.347497466874,0,5.065208262968722,1,1,0,0
Female,0,Yes,No,10,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,175.79876798325088,1757.9876798325088,1,17.57987679832509,1,1,0,0
Male,0,No,No,5,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.62133198091746,178.1066599045873,0,7.124266396183492,1,1,0,0
Female,0,Yes,Yes,9,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.67372150104763,294.06349350942867,0,3.6304135001164033,1,1,0,0
Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,143.10305853546174,1431.0305853546174,0,14.310305853546174,1,1,0,1
Female,0,No,No,8,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,81.42839359527552,651.4271487622042,0,10.17854919940944,1,1,0,0
Male,0,No,No,0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,188.26503977449497,0.0,1,188.26503977449497,1,1,0,1
Male,1,No,No,3,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,40.98817263862544,122.96451791587631,0,13.662724212875148,1,1,0,0
Female,0,No,Yes,7,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,164.53040017931025,1151.7128012551718,0,23.504342882758607,1,1,1,0
Female,1,No,No,5,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,45.49323323585261,227.46616617926307,0,9.098646647170522,1,1,1,0
Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,135.72779491167304,407.1833847350191,0,45.242598303891015,1,1,0,0
Male,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.164194597180206,136.65677838872082,0,8.541048649295051,0,1,0,0
Male,0,No,No,0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,153.08854241656076,0.0,1,153.08854241656076,1,1,1,0
Female,1,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,85.82078279595345,171.6415655919069,0,42.910391397976724,1,1,1,1
Female,1,No,No,9,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,139.52636984136294,1255.7373285722665,0,15.50292998237366,1,1,0,0
Female,0,No,No,0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,124.824118809622,0.0,1,124.824118809622,1,1,0,0
Female,0,No,Yes,10,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,80.30071757939282,803.0071757939282,0,8.030071757939282,1,1,0,1
Male,1,No,Yes,4,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,156.57671737027997,626.3068694811199,0,39.14417934256999,1,1,1,0
Female,0,No,No,9,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,52.890812560553314,476.0173130449798,0,5.876756951172591,1,1,1,0
Female,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,169.20046453363256,507.60139360089767,1,56.40015484454418,1,1,1,0
Female,0,No,No,9,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.479088508542354,292.3117965768812,0,3.6087876120602616,1,1,0,0
Male,1,No,Yes,6,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,140.65868529113928,843.9521117468357,0,23.44311421518988,1,1,0,1
Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,163.0371909189964,1630.371909189964,0,16.30371909189964,1,1,0,0
Female,0,No,No,0,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,34.3607298608739,0.0,0,34.3607298608739,1,1,0,0
Male,1,No,No,9,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,106.67306299712313,960.057566974108,1,11.852562555235902,0,1,0,0
Female,0,No,Yes,3,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,79.41257411601997,238.2377223480599,0,26.470858038673324,1,1,1,0
Female,1,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.537062210008184,118.14824884003274,0,7.384265552502046,0,1,0,0
Male,0,No,No,0,Yes,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,142.10619334871998,0.0,0,142.10619334871998,0,1,1,1
Female,1,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,119.56826704902954,1315.250937539325,1,10.869842459002685,1,1,0,0
Male,0,Yes,No,7,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.33141785911816,240.31992501382712,0,4.904488265588308,1,1,0,0
Male,0,No,No,11,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.46688344500816,313.1357178950897,0,2.5878984950007418,1,1,0,0
Male,0,No,No,6,No,No phone service,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.29901443977276,553.7940866386365,0,15.383169073295461,1,1,1,0
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,126.19498625829814,126.19498625829814,0,126.19498625829814,1,1,0,0
Female,1,No,Yes,4,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.72481557475211,414.8992622990085,1,25.93120389368803,1,1,1,0
Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.51905624474198,412.5952812237099,0,16.503811248948395,1,1,0,1
Male,1,Yes,No,1,No,No phone service,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.54861382830399,54.54861382830399,1,54.54861382830399,0,1,0,0
Male,1,No,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,72.57284081888034,798.3012490076837,1,6.597530983534576,1,1,0,0
Female,1,No,No,11,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,36.21442379418529,398.3586617360381,0,3.2922203449259353,1,1,0,0
Female,0,No,No,6,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,133.75677639724336,802.5406583834601,0,22.292796066207227,1,1,1,0
Female,0,No,Yes,7,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.17701177049863,225.2390823934904,0,4.59671596721409,1,1,0,0
Male,1,No,Yes,8,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,33.576644181642244,268.61315345313795,0,4.1970805227052805,1,1,0,0
Female,0,No,No,8,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,100.96133139781432,807.6906511825146,1,12.62016642472679,1,1,0,0
Female,1,No,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,140.41010641212,0.0,0,140.41010641212,1,1,1,1
Female,1,No,No,6,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,113.57552105932967,681.453126355978,1,18.92925350988828,0,1,1,1
Female,1,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,179.3769453100888,1614.3925077907993,0,19.930771701120975,1,1,0,0
Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,137.29866992612125,1235.6880293350912,0,15.255407769569027,1,1,1,0
